title,url,summary,overall_sentiment_score,overall_sentiment_label,ticker_relevance_score,ticker_sentiment_score,ticker_sentiment_label,time_published
FedEx announces first mother-daughter team to pilot international flight,https://www.foxbusiness.com/lifestyle/fedex-announces-first-mother-daughter-team-pilot-international-flight,"Just weeks ahead of Mother's Day, FedEx announced that two of its pilots made history by becoming the first mother-daughter team to co-pilot an international flight. FedEx pilots Terri Eidson and Nicole McCallister departed from Memphis on April 27 and landed in Incheon, South Korea on April 28 ...",0.095065,Neutral,,0.0,Neutral,20230514T190754
The aviation industry wants to be net zero-but not yet,https://www.economist.com/business/2023/05/14/the-aviation-industry-wants-to-be-net-zero-but-not-yet,The technology and economics of planemaking makes decarbonisation incredibly hard ...,0.105289,Neutral,,0.141293,Neutral,20230514T162851
The aviation industry wants to be net zero-but not soon,https://www.economist.com/business/2023/05/14/the-aviation-industry-wants-to-be-net-zero-but-not-soon,The technology and economics of planemaking make decarbonisation incredibly hard ...,0.105289,Neutral,,0.141293,Neutral,20230514T162851
Go First's insolvency flight leaves trail of concerns for aircraft lessors,https://www.business-standard.com/companies/news/go-first-s-insolvency-flight-leaves-trail-of-concerns-for-aircraft-lessors-123051400756_1.html,At least 50 requests to take back as many leased planes from two Indian airlines in less than two weeks. Petitions from lessors seeking to enforce rights under international norms and concerns over a possible spike in the risk premium for leasing aircraft for domestic carriers.,-0.084815,Neutral,,0.083759,Neutral,20230514T155341
US Debt-Ceiling Standoff: High alert in bond market but equity investors don't seem to care | The Financial Express,https://www.financialexpress.com/business/investing-abroad-us-debt-ceiling-standoff-high-alert-in-bond-market-but-equity-investors-dont-seem-to-care-3087089/,US Debt-Ceiling Standoff: High alert in bond market but equity ... The Financial Express ...,-0.189873,Somewhat-Bearish,,-0.1031,Neutral,20230514T134900
Why Alaska is getting rid of several dozen jets in high demand by airlines after only flying them for roughly 5 years,https://africa.businessinsider.com/transportation/why-alaska-is-getting-rid-of-several-dozen-jets-in-high-demand-by-airlines-after-only/21mq1ck,Why Alaska is getting rid of several dozen jets in high demand by ... - Business Insider Africa ...,0.171105,Somewhat-Bullish,,0.243267,Somewhat-Bullish,20230514T080443
We became the first mother-daughter duo to copilot an international flight - here's how the FedEx trip happened and what it was like,https://www.businessinsider.com/first-mother-daughter-co-pilot-international-flight-fedex-2023-5,We're the First Mother-Daughter Copilots of an International Flight - Business Insider ...,0.214591,Somewhat-Bullish,,0.0,Neutral,20230514T080000
Airlines' first class makeovers give the rich hotel rooms in the sky | The Financial Express,https://www.financialexpress.com/business/airlines-aviation-airlines-first-class-makeovers-give-the-rich-hotel-rooms-in-the-sky-3086912/,Airlines' first class makeovers give the rich hotel rooms in the sky The Financial Express ...,0.233793,Somewhat-Bullish,,0.086394,Neutral,20230514T023223
Airlines are offering more U.S.-Europe service than ever - but don't expect bargains,https://www.cnbc.com/2023/05/13/europe-flights-summer-schedule-prices.html,Airlines are flying the highest number of seats between the U.S. and Europe in more than four years.,0.077746,Neutral,,0.025945,Neutral,20230513T120001
Why Alaska is getting rid of several dozen jets in high demand by airlines after only flying them for roughly 5 years,https://www.businessinsider.com/why-alaska-is-retiring-its-airbus-a321neo-aircraft-2023-5,Why Alaska Is Retiring Its Airbus A321neo Aircraft - Business Insider ...,0.128225,Neutral,,0.180994,Somewhat-Bullish,20230513T112500
Boeing  ( NYSE:BA )  Upgraded at StockNews.com,https://www.defenseworld.net/2023/05/13/boeing-nyseba-upgraded-at-stocknews-com.html,"Boeing ( NYSE:BA - Get Rating ) was upgraded by investment analysts at StockNews.com from a ""sell"" rating to a ""hold"" rating in a note issued to investors on Saturday.",0.209986,Somewhat-Bullish,,0.357449,Bullish,20230513T052444
"SHAREHOLDER ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Spirit AeroSystems Holdings, Inc. - SPR",https://www.benzinga.com/pressreleases/23/05/g32376056/shareholder-alert-pomerantz-law-firm-investigates-claims-on-behalf-of-investors-of-spirit-aerosyst,"NEW YORK, May 12, 2023 ( GLOBE NEWSWIRE ) -- Pomerantz LLP is investigating claims on behalf of investors of Spirit AeroSystems Holdings, Inc. ( ""Spirit"" or the ""Company"" ) SPR. Such investors are advised to contact Robert S. Willoughby at newaction@pomlaw.com or 888-476-6529, ext. 7980.",0.04137,Neutral,,0.036744,Neutral,20230512T220930
These Travel Stocks Are Flying Higher. Uber Stock Is Cruising On Up.,https://www.investors.com/stock-lists/ibd-50/these-travel-stocks-are-flying-higher-uber-stock-is-cruising-on-up/,"Six travel stocks have made it onto the elite IBD 50 list. Travel and related stocks have taken off this year as folks are eager to hit the roads, skies and cruise ships for summer excursions.",0.204102,Somewhat-Bullish,,0.093215,Neutral,20230512T191600
QuoteMedia Announces 11% Revenue Growth for Q1 2023,https://www.globenewswire.com/news-release/2023/05/12/2668135/24049/en/QuoteMedia-Announces-11-Revenue-Growth-for-Q1-2023.html,"PHOENIX, May 12, 2023 ( GLOBE NEWSWIRE ) -- QuoteMedia, Inc. ( OTCQB: QMCI ) , a leading provider of market data and financial applications, announced financial results for the quarter ended March 31, 2023.",0.318128,Somewhat-Bullish,,0.152301,Somewhat-Bullish,20230512T185300
"SPR LAWSUIT ALERT: Levi & Korsinsky Notifies Spirit AeroSystems Holdings, Inc. Investors of a Class Action Lawsuit and Upcoming Deadline - Spirit AeroSystems Hldgs  ( NYSE:SPR ) ",https://www.benzinga.com/pressreleases/23/05/g32369588/spr-lawsuit-alert-levi-korsinsky-notifies-spirit-aerosystems-holdings-inc-investors-of-a-class-act,"NEW YORK, May 12, 2023 ( GLOBE NEWSWIRE ) -- Levi & Korsinsky, LLP notifies investors in Spirit AeroSystems Holdings, Inc. ( ""Spirit"" or the ""Company"" ) SPR of a class action securities lawsuit.",0.068479,Neutral,,0.053707,Neutral,20230512T172800
Virgin Orbit plans to move back deadline for bidders - source,https://www.reuters.com/markets/deals/virgin-orbit-plans-move-back-deadline-bidders-source-2023-05-12/,"May 12 ( Reuters ) - Satellite launch company Virgin Orbit is planning to move back the deadline for prospective bidders to buy its assets by a handful of days, according to two sources familiar with the matter. The development was first reported by Sky News.",-0.175132,Somewhat-Bearish,,0.075731,Neutral,20230512T163851
Concerned about aircraft lease rates if NCLT order stands: Boeing,https://www.business-standard.com/companies/news/concerned-about-aircraft-lease-rates-if-nclt-order-stands-boeing-123051201026_1.html,"India introduced a Bill in 2018 and a new Bill in 2022 to implement the CTC, but it has not yet been passed by Parliament ...",-0.01666,Neutral,,0.081044,Neutral,20230512T163813
2 High-Growth Companies to Watch,https://www.fool.com/retirement/2023/05/12/2-high-growth-companies-to-watch/,Just because a stock is down 50% doesn't mean that the business is broken. (Or does it?) ...,0.174519,Somewhat-Bullish,,0.236821,Somewhat-Bullish,20230512T134400
"Record Order On The Way - Turkish Airlines Eyes Massive 600 Aircraft Order: Report - Airbus  ( OTC:EADSY ) , Turk Hava Yollari  ( OTC:TKHVY ) , Boeing  ( NYSE:BA ) ",https://www.benzinga.com/news/23/05/32361626/record-order-on-the-way-turkish-airlines-eyes-massive-600-aircraft-order-report,"Turk Hava Yollari ( Turkish Airlines ) TKHVY reportedly plans to order 600 new aircraft in June. The airline expects the new aircraft to be delivered within 10 years, reported Reuters, citing Airlines chairman Ahmet Bolat.",0.099564,Neutral,,0.111562,Neutral,20230512T130829
