title,url,summary,overall_sentiment_score,overall_sentiment_label,ticker_relevance_score,ticker_sentiment_score,ticker_sentiment_label,time_published
NOW: 3 Energy Stocks You Should Buy Right Now,https://stocknews.com/news/now-noa-geos-3-energy-stocks-you-should-buy-right-now/,"The energy sector witnessed a mild slowdown earlier this year after an exceptionally good 2022, thanks to high oil and gas prices fueled by a demand-supply imbalance aggravated by Russia's invasion of Ukraine.",0.222789,Somewhat-Bullish,,0.05511,Neutral,20230714T181223
"Realism with ""Oppenheimer"", or escapism with ""Barbie""?",https://www.economist.com/culture/2023/07/14/realism-with-oppenheimer-or-escapism-with-barbie,"T an intriguing pair of rivals: he in a brown suit and porkpie hat, she in a gingham dress and matching hair bow. His domain is a vast scientific-research facility in New Mexico. hers is a fluorescent pink party house with a slide. J.",0.002438,Neutral,,-0.077589,Neutral,20230714T164415
Delta Lifts Guidance As Travel Boom Is Here To Stay - Delta Air Lines  ( NYSE:DAL ) ,https://www.benzinga.com/23/07/33231769/delta-lifts-guidance-as-travel-boom-is-here-to-stay,"On Thursday, Delta Air Lines DAL posted a quarterly earnings surprise and lifted its full year profit outlook as travel remains among top priorities for consumers. Delta posed its highest ever quarterly earnings as its bottom line benefited from strong international travel demand and lower fuel ...",0.093708,Neutral,,0.16806,Somewhat-Bullish,20230714T141846
Stratasys  ( SSYS )  Soars 9% as Takeover Bidding War Intensifies,https://www.zacks.com/stock/news/2121239/stratasys-ssys-soars-9-as-takeover-bidding-war-intensifies,The takeover bidding war for acquiring Stratasys (SSYS) intensifies as 3D Systems raises its offer price again just days after Nano Dimension revised the special tender offer.,0.296128,Somewhat-Bullish,,0.269647,Somewhat-Bullish,20230714T132400
Lynx Air Adds Tampa Bay to its Network,https://www.benzinga.com/pressreleases/23/07/g33228080/lynx-air-adds-tampa-bay-to-its-network,"TORONTO, July 14, 2023 ( GLOBE NEWSWIRE ) -- Today Lynx Air announced a further expansion of its US network, adding non-stop flights to Tampa International ( TPA ) from both Toronto Pearson International Airport ( YYZ ) and Montréal Pierre Trudeau International ( YUL ) .",0.280555,Somewhat-Bullish,,0.146847,Neutral,20230714T100000
Flying Under The Radar: Sun Country Airlines Is No. 1 In The Industry,https://www.investors.com/stock-lists/stock-spotlight/airline-stock-sun-country-airlines-is-no-1-in-the-industry/,"When investors think of airlines it is unlikely that Sun Country Airlines ( SNCY ) hits their radar. Nevertheless, this little airline - the 11th largest in the U.S. by passenger volume - is making its mark.",0.268178,Somewhat-Bullish,,0.186101,Somewhat-Bullish,20230713T215200
A Rocket Alternative to SpaceX Inches Toward Its First Launch,https://www.nytimes.com/2023/07/13/science/ula-vulcan-rocket-launch-delay.html,ULA Says First Vulcan Rocket Launch Will Still Happen This Year The New York Times ...,0.057458,Neutral,,-0.126649,Neutral,20230713T212509
"Energy News: Trade Shows, Summer Weather Prep, EV Updates",https://www.prnewswire.com/resources/news-trends/energy-news-trends-may-june-2023,"A look at the energy news from PR Newswire in May and June that you might have missed. May and June brought an uptick in energy industry news as PR Newswire distributed more than 2,200 energy-related news releases.",0.307829,Somewhat-Bullish,,0.122071,Neutral,20230713T194510
Check Out What Whales Are Doing With Boeing - Boeing  ( NYSE:BA ) ,https://www.benzinga.com/markets/options/23/07/33221102/check-out-what-whales-are-doing-with-boeing,"A whale with a lot of money to spend has taken a noticeably bearish stance on Boeing. Looking at options history for Boeing BA we detected 45 strange trades. If we consider the specifics of each trade, it is accurate to state that 31% of the investors opened trades with bullish expectations and ...",0.096873,Neutral,,0.225728,Somewhat-Bullish,20230713T182136
"Hello, Avelo! Avelo Airlines Announces Exclusive Nonstop Service to Las Vegas and Los Angeles from Salem / Portland",https://www.prnewswire.com/news-releases/hello-avelo-avelo-airlines-announces-exclusive-nonstop-service-to-las-vegas-and-los-angeles-from-salem--portland-301876529.html,"Avelo is the first commercial airline serving SLE in nearly 15 years SALEM, Ore., July 13, 2023 /PRNewswire/ -- Avelo Airlines announced today exclusive nonstop service from the greater Salem / Portland region to Las Vegas and Los Angeles.",0.283145,Somewhat-Bullish,,0.110464,Neutral,20230713T170000
Delta is counting on this to keep demand for air travel sky high,https://www.marketwatch.com/story/delta-is-counting-on-this-to-keep-demand-for-air-travel-sky-high-e7f5aead,"Delta Air Lines is betting that demand for air travel will stretch beyond summer as return-to-office mandates lift business and international travel, especially for Europe.",0.105952,Neutral,,0.083322,Neutral,20230713T161600
Raytheon  ( RTX )  Arm Wins $28.2M Modification Deal for MK-31 RAM,https://www.zacks.com/stock/news/2120872/raytheon-rtx-arm-wins-282m-modification-deal-for-mk-31-ram,"Raytheon's (RTX) arm, Missiles and Defense, recently clinches a $28.2 million modification contract involving MK-31 Guided Missile program.",0.41607,Bullish,,0.443999,Bullish,20230713T160100
Five Reasons The Road To Revitalizing American Manufacturing Runs Through The Pentagon,https://www.forbes.com/sites/lorenthompson/2023/07/13/five-reasons-the-road-to-revitalizing-american-manufacturing-runs-through-the-pentagon/,Military projects and policies can play a central role in rebuilding the manufacturing sector.,0.202659,Somewhat-Bullish,,0.106248,Neutral,20230713T152241
