title,url,summary,overall_sentiment_score,overall_sentiment_label,ticker_relevance_score,ticker_sentiment_score,ticker_sentiment_label,time_published
"Biden seeks new funding for air traffic controllers, Amtrak",https://www.reuters.com/business/aerospace-defense/biden-seeks-new-funding-air-traffic-controllers-amtrak-2023-03-13/,"WASHINGTON, March 13 ( Reuters ) - The Biden administration on Monday released details on a new proposal calling for more funding for more air traffic controllers and to speed modernization efforts after a computer outage led to the first nationwide flight grounding since 2001.",0.098411,Neutral,,0.03107,Neutral,20230313T221137
Boeing  ( BA )  Gains As Market Dips: What You Should Know,https://www.zacks.com/stock/news/2065016/boeing-ba-gains-as-market-dips-what-you-should-know,"Boeing (BA) closed at $203.37 in the latest trading session, marking a +0.15% move from the prior day.",0.089849,Neutral,,0.113828,Neutral,20230313T214519
News Exclusive | Boeing Expected to Sell About 80 Dreamliners in Saudi Airline Deal,https://www.wsj.com/articles/boeing-expected-to-sell-about-80-dreamliners-in-saudi-airline-deal-4905921e,"Two Saudi Arabian airlines are nearing a deal to buy a total of about 80 Boeing 787 Dreamliners with options for some 40 more, another significant order for the American aircraft manufacturer.",0.290045,Somewhat-Bullish,,0.19265,Somewhat-Bullish,20230313T202700
Saudi Arabia has announced a new airline to bring in tourists as it tries to attract 100 million visitors to the kingdom by 2030,https://africa.businessinsider.com/transportation/saudi-arabia-has-announced-a-new-airline-to-bring-in-tourists-as-it-tries-to-attract/xq3gzff,Saudi Arabia has announced a new airline to bring in tourists as it ... - Business Insider Africa ...,0.172456,Somewhat-Bullish,,0.146195,Neutral,20230313T200230
Saudi Arabia has announced a new airline to bring in tourists as it tries to attract 100 million visitors to the kingdom by 2030,https://www.businessinsider.com/saudia-arabia-establishing-new-airline-to-attract-tourists-riyadh-air-2023-3,Saudia Arabia Establishing New Airline to Attract Tourists. Riyadh Air - Business Insider ...,0.177255,Somewhat-Bullish,,0.145019,Neutral,20230313T200230
Boeing expected to sell nearly 80 787 planes to Saudi airlines -source,https://www.reuters.com/business/aerospace-defense/boeing-expected-sell-nearly-80-787-planes-saudi-airlines-source-2023-03-13/,Boeing expected to sell nearly 80 787 planes to Saudi airlines ...,0.036852,Neutral,,0.115592,Neutral,20230313T194300
"Embraer  ( ERJ )  Q4 Earnings Lag Estimates, Revenues Rise Y/Y",https://www.zacks.com/stock/news/2064912/embraer-erj-q4-earnings-lag-estimates-revenues-rise-yy,Embraer's (ERJ) Q4 2023 adjusted earnings of 24 cents per ADS miss the Zacks Consensus Estimate of 30 cents per ADS.,0.096324,Neutral,,0.068584,Neutral,20230313T163500
Lockheed Martin  ( LMT )  Wins $164.3M Contract for UH-60M Aircraft,https://www.zacks.com/stock/news/2064913/lockheed-martin-lmt-wins-1643m-contract-for-uh-60m-aircraft,"Lockheed Martin's (LMT) arm, Sikorsky, clinches a $164.3-million contract for UH-60M aircraft.",0.426799,Bullish,,0.441902,Bullish,20230313T163400
Amazon Presses For Level Playing Field On Which To Compete With SpaceX's Starlink,https://www.forbes.com/sites/lorenthompson/2023/03/13/amazon-presses-for-level-playing-field-on-which-to-compete-with-spacexs-starlink/,Sometimes being big is what makes it possible to bring competition to emerging markets.,0.153422,Somewhat-Bullish,,-0.033809,Neutral,20230313T161227
3 Airline Stocks to Buy Now as Air Travel Demand Bounces Back,https://www.zacks.com/stock/news/2064825/3-airline-stocks-to-buy-now-as-air-travel-demand-bounces-back,"Considering the buoyant scenario of air-travel demand, both domestic and internationally, investing in airline stocks like CPA, AAL, ALK can be a prudent move.",0.274447,Somewhat-Bullish,,0.220914,Somewhat-Bullish,20230313T152800
General Electric Is Getting Ready to Fire On all Cylinders,https://www.fool.com/investing/2023/03/13/general-electric-is-getting-ready-to-fire-on-all-c/,Management's recent guidance was better than many had expected it to be.,0.291327,Somewhat-Bullish,,0.094011,Neutral,20230313T141800
"Boeing Outflanks Airbus, Nears $35 Bil. Deal With New Saudi Airline",https://www.investors.com/news/ba-stock-rises-boeing-35-billion-jet-deal-new-saudi-airline/,BA Stock: Boeing Eyes $35 Billion Jet Deal For New Saudi Airline ... Investor's Business Daily ...,0.084088,Neutral,,0.146201,Neutral,20230313T123743
GOL Linhas Aéreas launches Sabre Ancillary IQ,https://www.prnewswire.com/news-releases/gol-linhas-aereas-launches-sabre-ancillary-iq-301769793.html,Sabre's innovative AI-based solution will help GOL create personalized traveler experiences and drive incremental ancillary revenue,0.458826,Bullish,,0.159855,Somewhat-Bullish,20230313T123000
From the Sea to the Sky: United Invests $5 Million in Algae-based Fuel Producer Viridos,https://www.prnewswire.com/news-releases/from-the-sea-to-the-sky-united-invests-5-million-in-algae-based-fuel-producer-viridos-301769673.html,From the Sea to the Sky: United Invests $5 Million in Algae-based ... PR ...,0.168276,Somewhat-Bullish,,0.19395,Somewhat-Bullish,20230313T120000
Better Buy: Boeing vs. Raytheon Technologies,https://www.fool.com/investing/2023/03/13/better-buy-boeing-vs-raytheon-technologies/,"The aerospace and defense giants both offer exposure to attractive end markets, but one has executed better in recent years.",0.188681,Somewhat-Bullish,,0.24924,Somewhat-Bullish,20230313T115000
"The daily business briefing: March 13, 2023",https://theweek.com/briefing/business-briefing/1021740/the-daily-business-briefing-march-13-2023,"Treasury Secretary Janet Yellen said Sunday her department would back deposits of the collapsed Silicon Valley Bank, but she said the federal government would not bail out the company. ""We're not going to do that again,"" Yellen said on CBS's Face the Nation. ""But we are concerned about ...",0.01931,Neutral,,0.071999,Neutral,20230313T113249
Boeing JV Targets 3 Vulcan Launches in 2023. What Investors Should Know,https://www.fool.com/investing/2023/03/13/boeing-jv-targets-3-vulcan-launches-in-2023/,Never before in its history has the ULA joint venture between Boeing and Lockheed launched rockets as fast as this.,0.165888,Somewhat-Bullish,,0.197128,Somewhat-Bullish,20230313T110700
America Is Ceding the Seas to Its Enemies,https://www.theatlantic.com/magazine/archive/2023/04/us-navy-oceanic-trade-impact-russia-china/673090/,"Very few Americans-or, for that matter, very few people on the planet-can remember a time when freedom of the seas was in question. But for most of human history, there was no such guarantee. Pirates, predatory states, and the fleets of great powers did as they pleased.",0.098621,Neutral,,0.068083,Neutral,20230313T100000
