future,influential,trustworthy,not clickbait,finbert_Score,bart_Score,vader_Score,future_finbert,future_bart,future_vader,influential_finbert,influential_bart,influential_vader,trustworthy_finbert,trustworthy_bart,trustworthy_vader,clickbait_finbert,clickbait_bart,clickbait_vader,Date,^GSPC_Close,^GSPC_Volume,EURUSD=X_Close,BTC-USD_Open,BTC-USD_High,BTC-USD_Low,BTC-USD_Close,BTC-USD_Volume,mean_future,mean_influential,mean_trustworthy,mean_clickbait,norm_rsi_14,norm_rsi_gspc_14,norm_slowk_14,vwap_14,norm_roc_14,log_return_1,log_return_7,log_return_14,log_return_28,log_return_gspc_1,log_return_gspc_7,log_return_gspc_14,log_return_gspc_28,daily_variation,high_close_pressure,low_open_pressure,low_norm,close_norm,high_norm,open_norm
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-09-01,3526.64990234375,4101490000.0,1.193901538848877,11679.31640625,12067.0810546875,11601.12890625,11970.478515625,27311555343,0.0,0.0,0.0,0.0,1.0,1.0,0.7926771249227158,11879.562825520834,0.0,,,,,,,,,0.03989549835195433,0.008271249420968225,-0.006694527083636437,0.9765619389063144,1.0076531174959447,1.0157849435977409,0.9831436205008618
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-09-02,3580.840087890625,4295640000.0,1.1923214197158811,11964.8232421875,11964.8232421875,11290.7939453125,11414.0341796875,28037405299,0.0,0.0,0.0,0.0,0.0,1.0,0.1587559974739533,11715.938637760257,0.0,-0.04759982836281473,,,,0.015249050143870235,,,,0.05633424608383674,0.04603403254282431,-0.05633424608383674,0.9637122807149635,0.974231304259334,1.0212432492284564,1.0212432492284564
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-09-03,3455.06005859375,4911830000.0,1.184735894203186,11407.19140625,11443.0224609375,10182.46484375,10245.296875,31927261555,0.0,0.0,0.0,0.0,0.0,0.28574448897031557,0.033339430535166775,11316.338965788877,0.0,-0.108024907829682,,,,-0.03575759414218638,,,,0.1105055199211298,0.10499741288475849,-0.10736442642918854,0.8998020362003328,0.905354364691018,1.0111947420037177,1.0080284304611045
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-09-04,3426.9599609375,4438720000.0,1.1839784383773804,10230.365234375,10663.919921875,10207.9404296875,10511.8134765625,29965130374,0.0,0.0,0.0,0.0,0.1455131283445239,0.2438417437428433,0.17475634078763758,11097.784568277099,0.0,0.02568095890557487,,,,-0.008166280754274169,,,,0.044571184091782526,0.014868134404567286,-0.0021919847604414478,0.9198178579593977,0.947199273142354,0.9609052920668242,0.921838513933528
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-09-05,3426.9599609375,4438720000.0,1.1839784383773804,10512.5302734375,10581.5712890625,9946.67578125,10169.5673828125,44916565292,0.0,0.0,0.0,0.0,0.1211363841367877,0.2438417437428433,0.10511745294858597,10858.136062253669,0.0,-0.03310004713411807,,,,0.0,,,,0.060394166894027414,0.03919169748229211,-0.05382666945723533,0.9160573899813068,0.9365850017449263,0.9745292588336044,0.9681707995889273
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-09-06,3426.9599609375,4438720000.0,1.1839784383773804,10167.216796875,10353.927734375,10056.8857421875,10280.3515625,37071460174,0.0,0.0,0.0,0.0,0.16962836844548035,0.2438417437428433,0.15736415365024098,10741.328367130682,0.0,0.010834787536524004,,,,0.0,,,,0.02921566423947987,0.007236608930933233,-0.01085164769196339,0.936279517621151,0.9570838178598741,0.9639336384183954,0.9465511573026192
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-09-07,3426.9599609375,4438720000.0,1.183445930480957,10280.998046875,10399.1533203125,9916.4931640625,10369.5634765625,33703098409,0.0,0.0,0.0,0.0,0.20754692693584034,0.2438417437428433,0.21067277207086363,10667.113025444045,0.0,0.00864046839153687,,,,0.0,,,,0.04694681917546992,0.0028781100448700206,-0.035454231306200325,0.9296323326104161,0.9721058970527634,0.9748798288260013,0.9638032354538615
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-09-08,3331.840087890625,4694330000.0,1.182172775268555,10369.306640625,10414.775390625,9945.1103515625,10131.5166015625,33430927462,0.0,0.0,0.0,0.0,0.18347158624729773,0.14621636085740775,0.09998356190758159,10603.94295448265,0.0,-0.023223905590111116,-0.16679247408309017,,,-0.028148829086466876,-0.05682365383905719,,,0.045293774727660226,0.027317042390543757,-0.040908838340316646,0.9378690921152457,0.9554480484336781,0.9821606392386633,0.9778727295247791
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-09-09,3398.9599609375,3932520000.0,1.177024483680725,10134.1513671875,10350.54296875,10017.2509765625,10242.34765625,24128292755,0.0,0.0,0.0,0.0,0.22835221308800813,0.34537945823704375,0.15151879800308962,10570.672167528668,0.0,0.010879835709758368,-0.10831281001051707,,,0.019944760662180983,-0.05212794332074644,,,0.03288800217319011,0.010676307130197042,-0.011535291549275824,0.9476456007531683,0.9689400535675275,0.9791754776527014,0.9587045370982097
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-09-10,3339.18994140625,4208630000.0,1.1806375980377195,10242.330078125,10503.912109375,10238.1357421875,10363.138671875,54406443211,0.0,0.0,0.0,0.0,0.2751164352758985,0.28224050960768693,0.20768530770565097,10538.763750731236,0.0,0.011724294913523892,0.011436392732688816,,,-0.017741245925396498,-0.03411159510395656,,,0.02594881879028,0.013744278540744951,-0.0004095099362651893,0.9714740727039377,0.9833353244260694,0.9966930047792544,0.9718720639709124
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-09-11,3340.969970703125,3710090000.0,1.1824384927749634,10369.0283203125,10434.9228515625,10140.8369140625,10400.9150390625,45201121775,0.0,0.0,0.0,0.0,0.2896160997342859,0.28642429436640116,0.2252509079548561,10514.059456401283,0.0,0.0036386352484214513,-0.010605930924464602,,,0.000532930158087197,-0.025412384191595194,,,0.028361957207108573,0.003279749215592371,-0.022007019288681314,0.964502526936772,0.9892387504742617,0.9924732587668028,0.9862059809828749
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-09-12,3340.969970703125,3710090000.0,1.1824384927749634,10409.861328125,10578.837890625,10292.38671875,10442.1708984375,36750077324,0.0,0.0,0.0,0.0,0.30594414705564577,0.28642429436640116,0.24443443426170713,10507.493683204611,0.0,0.003958714499077587,0.026452830708731057,,,0.0,-0.025412384191595194,,,0.027517289889450902,0.013128608333932161,-0.011284935089155434,0.9795282328079394,0.993783219220819,1.0067898406195976,0.9907083117988765
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-09-13,3340.969970703125,3710090000.0,1.1824384927749634,10452.3994140625,10577.21484375,10224.330078125,10323.755859375,36506852789,0.0,0.0,0.0,0.0,0.28564954305060253,0.28642429436640116,0.18937272784240503,10497.062685881425,0.0,-0.011404867595945944,0.004213175576261108,,,0.0,-0.025412384191595194,,,0.033761125235056956,0.02424888050431752,-0.021819806812075987,0.974018197669406,0.9834899693664283,1.0076356748804005,0.9957451647993875
