uuid,title,description,keywords,snippet,url,image_url,language,published_at,source,relevance_score,type,industry,match_score,sentiment_score
6786c174-be40-4a17-ad55-3d2cdc1dc9de,"Crypto Analyst Issues Major Warning On Market, Following Bitcoin's Performance: 'This Rally Seems Tainted'",Pseudonymous trader and crypto analyst DonAlt has issued a stern warning about the crypto market as the market begins to trend downward.,,"Pseudonymous trader and crypto analyst DonAlt has issued a stern warning about the crypto market as the market begins to trend downward.

In a tweet on Friday, ...",https://www.benzinga.com/markets/cryptocurrency/23/04/31948102/crypto-analyst-issues-major-warning-on-market-following-bitcoins-performance-this-rally-se,https://cdn.benzinga.com/files/images/story/2023/04/22/bitcoin.jpg?width=1200&height=800&fit=crop,en,2023-04-22T19:57:59.000000Z,benzinga.com,,cryptocurrency,N/A,52.116035,-0.7003
5dc1a34d-a533-4f41-b869-10af39f7baf6,"If You Had $1,000 Right Now, Would You Put It On Bitcoin Or Dogecoin?","Every week, Benzinga conducts a survey to collect sentiment on what traders are most excited about, interested in or thinking about as they manage and build their personal portfolios. This week we posed the following question to over 1,000 Benzinga visitors on cryptocurrency investing:",,"Every week, Benzinga conducts a survey to collect sentiment on what traders are most excited about, interested in or thinking about as they manage and build the...",https://www.benzinga.com/markets/cryptocurrency/23/04/31949658/if-you-had-1-000-right-now-would-you-put-it-on-bitcoin-or-dogecoin,https://cdn.benzinga.com/files/images/story/2023/04/23/shiba-inu-6265490.jpg?width=1200&height=800&fit=crop,en,2023-04-23T17:08:24.000000Z,benzinga.com,,cryptocurrency,N/A,56.38447,0.0
5c9a99cb-2a4d-4fdb-800e-c991b77d1cd8,Bitcoin Tumbles Below This Key Level; Injective Becomes Top Loser,"Bitcoin (CRYPTO: BTC) moved lower, with the cryptocurrency prices trading below the key $28,000 level on Monday. Ethereum (CRYPTO: ETH) also moved lower, trading below the key $1,900 mark this morning.",,"Bitcoin BTC/USD moved lower, with the cryptocurrency prices trading below the key $28,000 level on Monday.

Ethereum ETH/USD also moved lower, trading below the...",https://www.benzinga.com/markets/cryptocurrency/23/04/31956898/bitcoin-tumbles-below-this-key-level-injective-becomes-top-loser,https://cdn.benzinga.com/files/images/story/2023/04/24/bitcoin_-_logo.jpg?width=1200&height=800&fit=crop,en,2023-04-24T13:41:36.000000Z,benzinga.com,,cryptocurrency,N/A,52.072495,-0.296
78dbdbc4-80e4-4450-b6b4-85139a333a6f,"'Crypto Is Dead In America': Is Tech Guru Chamath Palihapitiya Overreacting, Or Is The End Near? - Coinbase Glb (NASDAQ:COIN)",Cryptocurrencies are facing tough times in the U.S.,,"Cryptocurrencies are facing tough times in the U.S. due to regulators' aggressive approach to the industry, according to tech investor Chamath Palihapitiya in a...",https://www.benzinga.com/markets/cryptocurrency/23/04/31971535/crypto-is-dead-in-america-is-tech-guru-chamath-palihapitiya-overreacting-or-is-the-end-nea,https://cdn.benzinga.com/files/images/story/2023/04/24/shutterstock_2013962444.jpg?width=1200&height=800&fit=crop,en,2023-04-24T21:57:59.000000Z,benzinga.com,,cryptocurrency,N/A,51.09971,-0.1935
0960c714-d76a-473c-aa82-4b1f399f1cbd,Crypto Traders Lose $650M In A Single Week — Here's Why,"Traders holding long positions in futures suffered significant losses due to falling crypto prices last week, with around $650 million in longs liquidated across derivatives exchanges since April 17, according to a report.",,"Traders holding long positions in futures suffered significant losses due to falling crypto prices last week, with around $650 million in longs liquidated acros...",https://www.benzinga.com/markets/cryptocurrency/23/04/31961626/crypto-traders-lose-650m-in-a-single-week-heres-why,https://cdn.benzinga.com/files/images/story/2023/04/24/bitcoin_chart_shutter3.jpg?width=1200&height=800&fit=crop,en,2023-04-24T20:20:57.000000Z,benzinga.com,,cryptocurrency,N/A,49.26345,0.1027
78df4e10-7201-4ce3-921d-d3f4edef2d49,"Gold Drop Won’t Deter ‘Rich Dad, Poor Dad’ Author: Here’s Why - iShares Gold Trust Shares of the iShares Gold Trust (ARCA:IAU), SPDR Gold Trust (ARCA:GLD)","‘Rich Dad, Poor Dad' author Robert Kiyosaki believes even if gold plunges to $1,000 per ounce, he would still be a buyer as the yellow metal, silver and Bitcoin (CRYPTO:",,"‘Rich Dad, Poor Dad' author Robert Kiyosaki believes even if gold plunges to $1,000 per ounce, he would still be a buyer as the yellow metal, silver and Bitco...",https://www.benzinga.com/markets/cryptocurrency/23/04/31950619/rich-dad-poor-dad-author-says-even-if-gold-drops-to-1-000ounce-hell-still-be-a-buyer-cash-,https://cdn.benzinga.com/files/images/story/2023/Robert_Kiyosaki_Wikimedia_Commons_0.jpeg?width=1200&height=800&fit=crop,en,2023-04-24T05:13:14.000000Z,benzinga.com,,cryptocurrency,N/A,44.49546,-0.4767
c0a83f01-ce74-4e44-84d2-82a0d3ca7ae6,Bitcoin & Ethereum Price Action: How Much More Downside?,"Bitcoin and Ethereum have fallen sharply over the past couple of weeks, and chances are cryptocurrencies could decline further in the near term. However, it may be premature to assume that the multi-week-long rebound is over.",,"Bitcoin, BTC/USD, Ethereum, ETH/USD - Technical Outlook:

Bitcoin and Ethereum have pulled back recently from strong resistance.

BTC/ USD and ETH/USD have plen...",https://www.dailyfx.com/analysis/bitcoin-ethereum-price-action-how-much-more-downside-20230425.html,https://a.c-dn.net/b/0GCq9G/iStock-652798732.jpg,en,2023-04-25T06:00:00.000000Z,dailyfx.com,,cryptocurrency,N/A,67.98641,0.36762
5f50dcba-35aa-4057-b7af-a4acdda21350,Multiple Dormant Bitcoin Whales Awaken; What Does It Mean?,"Crypto News: Even as Bitcoin (CRYPTO: BTC) price dropped for three consecutive days last week, dormant whales re-activated their addresses containing massive amounts of cryptocurrency. Generally, this trend is associated with a corresponding price surge for the asset.",,"Crypto News: Even as Bitcoin BTC/USD price dropped for three consecutive days last week, dormant whales re-activated their addresses containing massive amounts ...",https://www.benzinga.com/markets/cryptocurrency/23/04/31978634/multiple-dormant-bitcoin-whales-awaken-what-does-it-mean,https://cdn.benzinga.com/files/images/story/2023/04/25/andre-francois-mckenzie-igyibhdntpe-unsplash.jpg?width=1200&height=800&fit=crop,en,2023-04-25T15:57:44.000000Z,benzinga.com,,cryptocurrency,N/A,51.10196,0.3612
b4504371-1c6d-459a-bd29-dc0b4f93bf02,Epic Cyber Showdown: US Treasury Vs. North Korea's Infamous Lazarus Group,The U.S.,,The U.S. Treasury Department's sanctioning authority has imposed restrictions on three individuals from North Korea for their involvement with the Lazarus Group...,https://www.benzinga.com/markets/cryptocurrency/23/04/31972519/epic-cyber-showdown-us-treasury-vs-north-koreas-infamous-lazarus-group,https://cdn.benzinga.com/files/images/story/2023/04/24/shutterstock_139577525.jpg?width=1200&height=800&fit=crop,en,2023-04-25T04:00:16.000000Z,benzinga.com,,cryptocurrency,N/A,49.264492,0.0
e98deb53-e6a5-47b5-9a9b-8c0ba26def4f,"Binance Pulls Out Of Deal To Acquire Voyager Digital Assets, Here's What's Next - Voyager Digital (OTC:VYGVQ)",The aftershock of the bankruptcy of cryptocurrency platform FTX isn’t done affecting Voyager Digital Ord Shs (OTC: VYGVQ).,,"The aftershock of the bankruptcy of cryptocurrency platform FTX isn’t done affecting Voyager Digital Ord Shs VYGVQ.

What Happened: The beleaguered crypto bro...",https://www.benzinga.com/markets/cryptocurrency/23/04/31996367/binance-pulls-out-of-deal-to-acquire-voyager-digital-assets-heres-whats-next,https://cdn.benzinga.com/files/images/story/2023/04/25/voyager_binance.jpg?width=1200&height=800&fit=crop,en,2023-04-25T18:34:32.000000Z,benzinga.com,,cryptocurrency,N/A,47.561317,0.1471
